descriptor,mean
#stars,5.24443539630836
#amine,0.1767100977198697
#amidine,0.061074918566775244
#acid,0.5423452768729642
#amide,0.025244299674267102
#rotor,6.057817589576548
#rtvFG,0.6433224755700325
CNS,-1.1539087947882736
mol_MW,203.62660097719854
dipole,3.4736148208469064
SASA,372.9299653908799
FOSA,93.54352171552641
FISA,196.39110111292075
PISA,23.355653501628662
WPSA,59.6397463355049
volume,598.2334527687268
donorHB,3.56722312703583
accptHB,6.452402280130304
dip^2/V,0.03254396179424542
ACxDN^.5/SA,0.03435690818403917
glob,0.9161229465255175
QPpolrz,14.120720955483128
QPlogPC16,6.124237106406093
QPlogPoct,13.593180103148748
QPlogPw,12.480084690553698
QPlogPo/w,-0.645731406080347
QPlogS,-0.8321404723127068
CIQPlogS,-1.0692760586319208
QPlogHERG,-2.1139214169381124
QPPCaco,1371.8546650380042
QPlogBB,-1.3268064603691587
QPPMDCK,1369.8263178610255
QPlogKp,-4.923608306188944
IP(eV),10.585606541802358
EA(eV),-0.32776397937025
#metab,3.2833876221498373
QPlogKhsa,-0.8929258957654727
HumanOralAbsorption,1.8851791530944626
PercentHumanOralAbsorption,46.962856270358294
SAfluorine,37.50666856677525
SAamideO,0.7205285016286647
PSA,102.06100515743789
#NandO,4.998371335504886
RuleOfFive,0.4568403908794788
#ringatoms,3.235342019543974
#in34,0.011400651465798045
#in56,3.207654723127036
#noncon,1.6514657980456027
#nonHatm,12.955211726384364
RuleOfThree,0.5219869706840391
Jm,43.8694142236698
