molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,0,0,0,0,0,6,1,290.831,3.815,393.305,82.458,0,0,310.847,655.33,0,0,0.0222039,0,0.9277038,20.072,6.793,7.325,0.774,3.722,-4.639,-4.637,-2.702,9906.038,0.357,10000,-1.52,10.59,0.181,0,0.52,3,100,0,0,0,0,0,6,0,6,6,12,0,0.203
3,3,0,0,2,0,9,0,-2,210.14,5.805,383.205,47.466,335.739,0,0,614.506,4,8.8,0.0548308,0.0459284,0.912188,12.66,7.31,15.527,15.466,-1.436,-0.391,-0.685,0.662,0.416,-2.669,0.177,-6.843,11.082,-0.242,4,-1.403,1,0,0,0,177.591,8,1,0,0,0,0,14,1,0.012
4,3,0,1,0,0,9,0,-2,280.329,14.673,545.349,10.383,255.421,279.546,0,918.637,7,4.5,0.2343597,0.0218317,0.8380171,27.501,12.026,25.131,17.37,0.526,-2.101,-3.258,-5.486,37.475,-2.404,14.215,-6.441,7.199,1.351,1,-0.648,2,45.231,0,0,121.046,5,1,12,0,12,0,21,0,0.001
5,0,0,2,0,0,14,0,-2,340.424,2.103,699.174,178.21,212.041,308.924,0,1178.576,6,4.5,0.0037526,0.0157653,0.771764,34.973,14.278,22.594,15.077,2.587,-3.997,-4.492,-6.698,96.63,-2.654,39.571,-7.12,8.744,0.317,2,-0.184,2,64.663,0,0,109.565,6,1,12,0,12,0,25,0,0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,0,0,0,0,0,0,-1,31.014,2.493,147.991,0,147.991,0,0,167.258,1,2.5,0.0371482,0.0168929,0.9920238,0.54,0.932,2.85,5.009,-1.395,1.265,-0.344,-1.661,391.294,-0.439,179.43,-4.247,9.982,0.035,0,-1.017,2,65.181,0,0,51.442,2,0,0,0,0,0,2,0,17.577
9,9,0,0,2,0,2,1,-1,99.986,4.806,223.569,0,168.206,0,55.363,294.42,2,5,0.0784389,0.0316281,0.9573358,4.344,2.264,7.76,8.833,-0.337,-0.017,-0.201,1.393,16.144,-0.645,18.602,-4.428,11.264,-0.307,0,-1.269,2,46.59,48.129,0,66.276,3,0,0,0,0,0,5,1,2.901
10,10,0,0,2,0,2,0,-2,98.073,0.543,224.531,0,221.786,0,2.745,295.524,2,4,0.0009988,0.0251941,0.9556173,4.389,2.912,6.176,8.197,-0.7,0.264,-0.304,1.365,5.011,-1.169,2.705,-5.415,12.246,0.569,0,-1.278,2,35.372,0,0,91.364,4,0,0,0,0,0,5,1,0.627
11,8,0,0,2,0,2,0,-1,114.134,4.202,244.137,0,163.339,0,80.798,332.139,2,5.5,0.0531729,0.0318599,0.9500458,5.854,3.437,8.293,11.851,-0.194,0.928,-0.206,1.275,0.715,-0.565,28.76,-4.338,9.87,2.733,1,-1.284,1,23.199,0,0,70.499,3,0,0,0,0,0,5,1,44.432
