molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
0,16,0,1,0,10,36,1,-2,1269.425,7.438,1828.489,743.927,723.814,360.748,0.000,3662.692,11.500,25.700,0.0151034,0.0476639,0.6284531,120.756,45.312,73.867,62.733,-1.503,-4.083,-8.362,4.480,0.000,-13.824,0.000,-12.195,8.117,-0.065,19,-2.428,1,0.000,0.000,229.997,562.100,32,3,30,0,30,7,91,2,0.000
0,17,0,1,0,10,36,1,-2,1269.425,5.678,1882.476,852.834,670.816,358.825,0.000,3723.252,11.500,26.200,0.0086592,0.0471977,0.6171402,123.162,46.069,74.487,61.396,-1.008,-5.507,-8.163,4.306,0.000,-13.349,0.001,-11.225,8.233,-0.078,19,-2.406,1,0.000,0.000,208.568,557.150,32,3,30,0,30,7,91,2,0.000
1,19,0,1,0,11,36,1,-2,1069.218,10.207,1327.435,456.801,534.724,263.314,72.596,2892.132,12.500,26.250,0.0360254,0.0699151,0.7395437,88.988,33.532,64.871,57.445,-5.265,1.698,-2.868,8.116,0.003,-7.946,0.049,-9.053,8.589,2.571,18,-4.353,1,0.000,0.000,173.718,491.826,26,3,17,0,17,4,74,2,0.047
1,20,0,1,0,11,36,1,-2,1069.218,17.671,1444.083,483.913,613.801,299.318,47.051,2985.491,12.500,26.250,0.1045898,0.0642676,0.6943579,93.068,36.220,67.186,60.938,-5.509,1.254,-2.868,7.213,0.000,-9.978,0.005,-10.384,8.874,2.360,18,-4.327,1,0.000,0.000,206.671,498.491,26,3,17,0,17,4,74,2,0.001
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,0,0,4,7,42,0,-2,1202.625,9.248,1374.259,1196.336,165.413,12.509,0.000,3416.523,5.000,26.700,0.0250331,0.0434438,0.7982756,103.727,29.313,57.316,34.741,5.563,-1.027,-7.931,11.995,0.948,-3.698,0.821,-0.492,9.366,-0.081,14,-2.325,1,20.227,0.000,83.063,283.903,23,3,0,0,0,0,85,2,36429.536
4,19,2,0,0,11,36,1,-2,1040.220,11.809,1405.119,511.960,498.741,342.567,51.851,2895.625,11.500,25.500,0.0481559,0.0615426,0.6992196,89.885,34.628,62.961,56.918,-5.740,2.000,-0.620,5.633,0.000,-7.483,0.005,-10.173,9.322,2.465,20,-4.321,1,0.000,0.000,189.966,452.792,24,3,17,0,17,4,72,2,0.007
5,16,2,0,0,7,37,1,-2,1019.241,10.484,1296.339,433.217,310.630,493.977,58.515,2800.989,9.500,20.100,0.0392413,0.0477903,0.7412887,86.901,32.043,55.618,40.487,0.270,-0.059,-5.606,0.094,0.136,-4.494,0.491,-6.077,8.036,2.130,17,-2.133,1,0.000,0.000,89.247,342.302,20,3,21,0,21,0,71,2,0.745
6,5,0,0,2,0,10,0,-2,445.434,10.823,757.801,160.318,441.397,156.087,0.000,1321.865,8.250,12.250,0.0886162,0.0464310,0.7686606,41.817,16.755,34.652,27.550,-0.302,-3.863,-3.918,-2.405,0.041,-5.020,0.015,-8.144,7.499,0.191,6,-1.079,1,0.000,0.000,0.000,251.587,13,2,16,0,16,2,32,1,0.000
7,1,1,0,1,0,4,0,-1,155.156,5.035,350.068,54.952,191.449,103.666,0.000,540.723,4.000,4.500,0.0468788,0.0257093,0.9169160,13.907,6.276,13.158,11.977,-2.517,-0.252,-0.131,-2.289,9.569,-0.797,4.573,-6.361,9.490,-0.382,4,-0.971,2,29.765,0.000,0.000,99.541,5,0,5,0,5,0,11,1,0.038
7,1,1,0,1,0,4,0,-1,155.156,5.652,352.636,49.204,202.850,100.582,0.000,544.696,4.000,5.000,0.0586434,0.0283579,0.9146923,14.037,6.355,13.682,12.533,-2.699,-0.304,-0.058,-2.311,7.461,-0.895,3.495,-6.582,9.394,-0.800,4,-0.978,2,26.761,0.000,0.000,102.993,5,0,5,0,5,0,11,1,0.020
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0,0,1,0,1,2,-1,88.063,1.317,253.519,87.920,165.599,0.000,0.000,353.145,1.000,4.000,0.0049121,0.0157779,0.9530679,7.337,2.955,5.529,6.639,-0.579,0.206,0.004,-0.484,67.473,-0.712,34.136,-4.475,11.041,0.605,0,-1.131,2,56.291,0.000,0.000,80.009,3,0,0,0,0,0,6,0,3.385
10,0,1,0,1,0,4,0,-1,165.191,2.366,379.903,44.210,146.800,188.893,0.000,608.648,3.000,3.000,0.0091951,0.0136776,0.9142595,17.440,7.040,11.530,9.383,-1.143,-0.802,-0.655,-2.739,25.369,-0.450,13.119,-5.238,9.449,-0.278,4,-0.710,2,45.389,0.000,0.000,74.463,3,0,6,0,6,0,12,0,0.151
11,0,0,0,1,0,5,0,-2,244.308,7.332,485.150,236.687,213.860,0.000,34.603,796.860,3.000,4.500,0.0674542,0.0160656,0.8567957,22.526,7.945,14.967,10.077,1.283,-3.048,-2.559,-2.042,23.522,-1.595,16.908,-4.981,9.320,-0.112,1,-0.503,2,59.003,0.000,0.000,107.696,5,0,8,0,8,4,16,0,0.004
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,2,0,1,0,7,0,-1,146.189,2.839,372.558,159.519,213.039,0.000,0.000,577.486,5.000,4.000,0.0139530,0.0240077,0.9001861,12.462,6.160,13.191,11.784,-3.207,1.339,1.303,-2.792,1.490,-0.814,0.678,-8.899,9.501,-0.864,5,-1.117,1,11.267,0.000,0.000,101.006,4,0,0,0,0,0,10,1,0.004
14,2,1,1,1,0,7,0,-2,174.202,5.283,406.718,118.185,288.534,0.000,0.000,635.056,7.000,5.000,0.0439530,0.0325256,0.8785084,14.766,7.579,18.187,16.294,-3.536,-0.052,0.174,-2.417,1.149,-1.952,0.463,-10.290,8.711,-0.518,4,-1.217,1,0.000,0.000,0.000,145.068,6,1,0,0,0,0,12,1,0.000
14,2,1,1,1,0,7,0,-2,174.202,6.583,405.233,112.270,292.963,0.000,0.000,633.404,7.000,5.000,0.0684194,0.0326448,0.8801988,14.700,7.607,18.525,16.320,-3.572,-0.036,0.174,-2.389,1.043,-1.981,0.417,-10.372,8.755,-0.453,4,-1.217,1,0.000,0.000,0.000,145.411,6,1,0,0,0,0,12,1,0.000
15,1,0,0,0,0,6,0,-2,176.126,6.468,349.103,82.251,256.977,9.875,0.000,543.031,4.000,7.900,0.0770314,0.0452588,0.9220642,11.820,6.156,14.792,14.691,-1.851,-0.640,-0.761,-2.840,36.223,-1.813,13.702,-5.645,9.328,0.229,5,-0.949,2,44.009,0.000,0.000,129.785,6,0,5,0,5,1,12,0,0.092
16,2,4,0,0,0,13,0,-1,202.342,1.121,543.463,387.475,155.989,0.000,0.000,878.073,6.000,5.000,0.0014324,0.0225359,0.8159844,20.639,8.637,17.192,12.933,-1.399,2.000,2.893,-7.414,5.098,-0.985,2.228,-7.271,9.264,-2.525,6,-0.854,2,18.458,0.000,0.000,81.293,4,1,0,0,0,0,14,1,1.083
17,3,1,0,2,0,4,0,-2,133.104,1.828,307.287,51.819,255.468,0.000,0.000,456.292,3.000,4.000,0.0073242,0.0225464,0.9327897,9.538,5.001,9.542,9.648,-3.876,-0.708,0.345,0.269,0.599,-1.237,0.291,-7.906,9.838,-0.446,4,-1.196,1,0.265,0.000,0.000,125.443,5,0,0,0,0,0,9,1,0.003
18,3,2,0,1,0,6,0,-1,132.162,2.117,339.995,126.541,213.453,0.000,0.000,517.341,5.000,4.000,0.0086612,0.0263071,0.9166655,10.697,5.667,12.568,11.929,-3.500,1.564,1.442,-2.525,1.476,-0.695,0.671,-9.003,9.425,-0.815,5,-1.149,1,9.479,0.000,0.000,101.106,4,0,0,0,0,0,9,1,0.005
19,3,1,0,1,1,5,0,-2,146.146,5.401,343.669,78.587,265.082,0.000,0.000,523.127,5.000,5.500,0.0557633,0.0357855,0.9136150,11.571,6.063,14.614,16.810,-4.228,1.212,1.029,-0.474,0.953,-1.457,0.804,-7.988,9.879,-0.614,5,-1.401,1,1.812,0.000,38.146,128.745,5,0,0,0,0,0,10,1,0.025
20,2,0,0,2,0,8,1,-2,347.224,3.386,540.018,76.853,363.622,95.233,4.309,922.770,6.000,14.100,0.0124234,0.0639568,0.8488274,26.548,11.374,25.812,25.053,-1.871,-1.768,-1.691,-0.817,0.226,-3.273,0.097,-7.118,8.602,0.216,4,-1.471,1,0.000,0.000,0.000,190.961,12,2,14,0,14,4,23,1,0.000
21,2,0,0,1,0,13,0,-2,278.434,2.382,592.093,452.976,102.683,36.435,0.000,1086.713,1.000,2.000,0.0052215,0.0033778,0.8633459,29.337,9.568,11.403,2.657,5.108,-4.210,-4.028,-2.109,266.538,-1.138,150.696,-2.035,9.740,-0.912,5,0.486,3,87.315,0.000,0.000,50.374,2,1,0,0,0,0,20,0,0.158
